age,county,median,upper,lower
75,Bello-Ant,-5.712566405035373,-5.395578288617794,-6.040172511096485
75,Barranquilla-Atl,-5.710163852401363,-5.511918927556992,-5.923728857396964
75,Soledad-Atl,-6.483967470127323,-6.0744721761783325,-6.929204019148066
75,Cartagena-Bol,-5.66056991378767,-5.439303476203147,-5.8868209382617795
75,Manizales-Cal,-6.1228806311300765,-5.801932092816228,-6.519588025821731
75,Valledupar-Ces,-5.250534588267135,-4.9718804112280095,-5.5475699664695295
75,Monteria-Cor,-5.095028021862662,-4.83968709321106,-5.366657586143697
75,Soacha-Cun,-5.862636871004765,-5.546187287486057,-6.224230351606148
75,Santa Marta-Mag,-5.673795258347197,-5.379437137305185,-6.0020235022793145
75,Villavicencio-Met,-5.043764577253228,-4.80071064809088,-5.297611379640825
75,Pasto-Nar,-5.109645731516332,-4.8629100692195575,-5.3707197679783825
75,Cucuta-N.,-4.84181976868064,-4.645903645092841,-5.0487138402491665
75,Pereira-Ris,-5.340342913232167,-5.10071844180771,-5.589937407748768
75,Bucaramanga-San,-5.408834494703183,-5.165192449668871,-5.677543772218789
75,Ibague-Tol,-5.473318623589951,-5.2305451718170595,-5.72483076263576
75,Cali-Val,-5.555640038377734,-5.410677442756684,-5.70574069859809
75,Buenaventura-Val,-6.272799155721685,-5.8623883163457995,-6.745780456396127
80,Medellin-Ant,-0.9785076465194522,-0.7774765070611418,-1.177844615006148
80,Bello-Ant,-0.9345289623597274,-0.7341569266327885,-1.1333847021130723
80,Barranquilla-Atl,-0.901694445416128,-0.7013619634856474,-1.1022079809602412
80,Soledad-Atl,-1.0267231156168557,-0.8177346973089873,-1.2320686983190596
80,Cartagena-Bol,-0.898865965749269,-0.6983656390746327,-1.0947355439730186
80,Manizales-Cal,-0.9574655687250604,-0.7508226433598123,-1.1601199209801245
80,Valledupar-Ces,-0.885533541331387,-0.6904404457122271,-1.0812639330344256
80,Monteria-Cor,-0.8440964129658339,-0.6354119611364063,-1.035708131231568
80,Soacha-Cun,-0.9336932953424547,-0.7384633471271332,-1.1297790623459671
80,Santa Marta-Mag,-0.8943064197650887,-0.7000493830108457,-1.0919904176024668
80,Villavicencio-Met,-0.9359551950431501,-0.6677276525994089,-2.6905121224327777
80,Pasto-Nar,-0.8596338372676744,-0.6631755056952682,-1.0566952361175332
80,Cucuta-N.,-0.8497074532295814,-0.645272106984719,-2.966812961174937
80,Pereira-Ris,-0.868756165986112,-0.6571589972226088,-1.0631841229447214
80,Bucaramanga-San,-3.033032311187121,-2.9419887526089754,-3.1287935087738075
80,Ibague-Tol,-0.8997281286032868,-0.7024561325894002,-1.1049702159301
80,Cali-Val,-0.9060841682308638,-0.6997770468164276,-1.0960069326012214
80,Buenaventura-Val,-0.957670382231492,-0.7501352835464736,-1.1594859969442437
